name,season,age,tm,pos,g,mp,per,ts%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,gs,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,dist.,2pd,0-3d,3-10d,10-16d,16-3pd,3pd,0-3,3-10,10-16,16-3p
Kelly Olynyk,2020-21,29,HOU,PF,27,840,22.3,0.674,0.389,0.421,5.2,24.5,14.5,21.9,2.2,1.7,15.7,22.9,2.2,1.0,3.2,0.182,2.9,0.9,3.8,1.2,24,6.5,11.9,0.545,1.8,4.6,0.392,4.7,7.3,0.643,0.621,4.2,5.0,0.844,1.6,6.9,8.4,4.1,1.4,0.6,2.6,3.1,19.0,12.6,0.611,0.355,0.196,0.037,0.022,0.389,0.798,0.444,0.333,0.429
Kelly Olynyk,2021-22,30,DET,C,40,764,16.7,0.561,0.416,0.311,7.3,18.3,12.5,23.3,2.0,2.2,15.1,21.5,0.8,0.8,1.6,0.104,0.5,1.0,1.6,0.7,1,3.2,7.2,0.448,1.0,3.0,0.336,2.2,4.2,0.527,0.517,1.7,2.2,0.775,1.4,3.1,4.4,2.8,0.8,0.5,1.5,2.5,9.1,14.2,0.584,0.301,0.175,0.045,0.063,0.416,0.64,0.38,0.385,0.5
Jarred Vanderbilt,2019-20,20,TOT,PF,11,46,7.6,0.676,0.125,0.25,7.3,14.5,10.9,5.9,3.2,2.0,44.1,14.9,-0.1,0.1,0.0,-0.026,-6.8,0.5,-6.3,-0.1,0,0.5,0.7,0.625,0.0,0.1,0.0,0.5,0.6,0.714,0.625,0.2,0.2,1.0,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1,4.0,0.875,0.875,0.0,0.0,0.0,0.125,0.714,0.0,0.0,0.0
Jarred Vanderbilt,2019-20,20,TOT,PF,11,46,7.6,0.676,0.125,0.25,7.3,14.5,10.9,5.9,3.2,2.0,44.1,14.9,-0.1,0.1,0.0,-0.026,-6.8,0.5,-6.3,-0.1,0,0.6,0.8,0.714,0.0,0.0,0.0,0.6,0.8,0.714,0.714,0.0,0.0,0.0,0.3,0.6,0.9,0.2,0.3,0.1,0.8,0.7,1.1,4.0,0.875,0.875,0.0,0.0,0.0,0.125,0.714,0.0,0.0,0.0
Jarred Vanderbilt,2019-20,20,TOT,PF,11,46,7.6,0.676,0.125,0.25,7.3,14.5,10.9,5.9,3.2,2.0,44.1,14.9,-0.1,0.1,0.0,-0.026,-6.8,0.5,-6.3,-0.1,0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.875,0.875,0.0,0.0,0.0,0.125,0.714,0.0,0.0,0.0
Jarred Vanderbilt,2019-20,20,DEN,PF,9,41,7.2,0.714,0.0,0.0,8.2,13.6,10.9,6.6,3.6,2.3,50.0,14.8,-0.1,0.1,0.0,-0.042,-7.3,0.9,-6.4,0.0,0,0.5,0.7,0.625,0.0,0.1,0.0,0.5,0.6,0.714,0.625,0.2,0.2,1.0,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1,1.3,1.0,1.0,0.0,0.0,0.0,0.0,0.714,0.0,0.0,0.0
Jarred Vanderbilt,2019-20,20,DEN,PF,9,41,7.2,0.714,0.0,0.0,8.2,13.6,10.9,6.6,3.6,2.3,50.0,14.8,-0.1,0.1,0.0,-0.042,-7.3,0.9,-6.4,0.0,0,0.6,0.8,0.714,0.0,0.0,0.0,0.6,0.8,0.714,0.714,0.0,0.0,0.0,0.3,0.6,0.9,0.2,0.3,0.1,0.8,0.7,1.1,1.3,1.0,1.0,0.0,0.0,0.0,0.0,0.714,0.0,0.0,0.0
Jarred Vanderbilt,2019-20,20,DEN,PF,9,41,7.2,0.714,0.0,0.0,8.2,13.6,10.9,6.6,3.6,2.3,50.0,14.8,-0.1,0.1,0.0,-0.042,-7.3,0.9,-6.4,0.0,0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.3,1.0,1.0,0.0,0.0,0.0,0.0,0.714,0.0,0.0,0.0
Jarred Vanderbilt,2019-20,20,MIN,PF,2,5,11.1,0.532,1.0,2.0,0.0,21.9,10.6,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.104,-2.8,-2.8,-5.6,0.0,0,0.5,0.7,0.625,0.0,0.1,0.0,0.5,0.6,0.714,0.625,0.2,0.2,1.0,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1,23.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jarred Vanderbilt,2019-20,20,MIN,PF,2,5,11.1,0.532,1.0,2.0,0.0,21.9,10.6,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.104,-2.8,-2.8,-5.6,0.0,0,0.6,0.8,0.714,0.0,0.0,0.0,0.6,0.8,0.714,0.714,0.0,0.0,0.0,0.3,0.6,0.9,0.2,0.3,0.1,0.8,0.7,1.1,23.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
